,,5327,73857,0434,REGION IV-A - CALABARZON,LAGUNA,,PROVINCIAL EVACUATION CENTER,"PAGSAWITAN, STA. CRUZ, LAGUNA (IN FRONT OF LAGUNA MEDICAL CENTER)","Monday, November 06, 2017"
,,5310,73700,043401,REGION IV-A - CALABARZON,LAGUNA,ALAMINOS,ALAMINOS MUNICIPAL EVACUATION CENTER,"ALAMINOS ELEMENTARY SCHOOL, POBLACION III, ALAMINOS LAGUNA","Monday, November 06, 2017"
,,5324,73856,043402,REGION IV-A - CALABARZON,LAGUNA,BAY,Galvez National High School,"Barangay San Antonio, Bay, Laguna","Monday, November 06, 2017"
,,5318,73761,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Cabuyao Central Elementary School,BARANGAY POBLACION DOS,"Monday, November 06, 2017"
,,5318,73762,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Sala Elementary School,BARANGAY SALA,"Monday, November 06, 2017"
,,5318,73763,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Niugan Elementary School,BARANGAY NIUGAN,"Monday, November 06, 2017"
,,5318,73764,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Pulo Elementary School,BARANGAY PULO,"Monday, November 06, 2017"
,,5318,73765,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,San Isidro Elementary School,BARANGAY SAN ISIDRO,"Monday, November 06, 2017"
,,5318,73766,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Banlic Elementary School,BARANGAY BANLIC,"Monday, November 06, 2017"
,,5318,73767,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Mamatid Elementary School,BARANGAY MAMATID,"Monday, November 06, 2017"
,,5318,73768,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Baclaran Elementary School,BARANGAY BACLARAN,"Monday, November 06, 2017"
,,5318,73769,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Gulod Elementary School,BARANGAY GULOD,"Monday, November 06, 2017"
,,5318,73770,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Marinig Elementary School,BARANGAY MARINIG,"Monday, November 06, 2017"
,,5318,73771,043404,REGION IV-A - CALABARZON,LAGUNA,CABUYAO CITY,Butong Elementary School,BARANGAY BUTONG,"Monday, November 06, 2017"
